original_title,genres,popularity,vote_average,vote_count,runtime,release_year
Jurassic World,Action|Adventure|Science Fiction|Thriller,32.985763,6.5,5562,124,2015
Mad Max: Fury Road,Action|Adventure|Science Fiction|Thriller,28.419936,7.1,6185,120,2015
Insurgent,Adventure|Science Fiction|Thriller,13.112507,6.3,2480,119,2015
Star Wars: The Force Awakens,Action|Adventure|Science Fiction|Fantasy,11.173104,7.5,5292,136,2015
Furious 7,Action|Crime|Thriller,9.335014,7.3,2947,137,2015
The Revenant,Western|Drama|Adventure|Thriller,9.1107,7.2,3929,156,2015
Terminator Genisys,Science Fiction|Action|Thriller|Adventure,8.654359,5.8,2598,125,2015
The Martian,Drama|Adventure|Science Fiction,7.6674,7.6,4572,141,2015
Minions,Family|Animation|Adventure|Comedy,7.404165,6.5,2893,91,2015
Inside Out,Comedy|Animation|Family,6.326804,8.0,3935,94,2015
Spectre,Action|Adventure|Crime,6.200282,6.2,3254,148,2015
Jupiter Ascending,Science Fiction|Fantasy|Action|Adventure,6.189369,5.2,1937,124,2015
Ex Machina,Drama|Science Fiction,6.118847,7.6,2854,108,2015
Pixels,Action|Comedy|Science Fiction,5.984995,5.8,1575,105,2015
Avengers: Age of Ultron,Action|Adventure|Science Fiction,5.944927,7.4,4304,141,2015
The Hateful Eight,Crime|Drama|Mystery|Western,5.8984,7.4,2389,167,2015
Taken 3,Crime|Action|Thriller,5.749758,6.1,1578,109,2015
Ant-Man,Science Fiction|Action|Adventure,5.573184,7.0,3779,115,2015
Cinderella,Romance|Fantasy|Family|Drama,5.556818,6.8,1495,112,2015
The Hunger Games: Mockingjay - Part 2,War|Adventure|Science Fiction,5.476958,6.5,2380,136,2015
Tomorrowland,Action|Family|Science Fiction|Adventure|Mystery,5.462138,6.2,1899,130,2015
Southpaw,Action|Drama,5.337064,7.3,1386,123,2015
San Andreas,Action|Drama|Thriller,4.907832,6.1,2060,114,2015
Fifty Shades of Grey,Drama|Romance,4.710402,5.3,1865,125,2015
The Big Short,Comedy|Drama,4.648046,7.3,1545,130,2015
Mission: Impossible - Rogue Nation,Action,4.566713,7.1,2349,131,2015
Ted 2,Comedy,4.564549,6.3,1666,115,2015
Kingsman: The Secret Service,Crime|Comedy|Action|Adventure,4.503789,7.6,3833,130,2015
Spotlight,Drama|Thriller|History,4.062293,7.8,1559,128,2015
Maze Runner: The Scorch Trials,Action|Science Fiction|Thriller,3.968891,6.4,1849,132,2015
Mr. Holmes,Mystery|Drama,3.927333,6.4,425,103,2015
Chappie,Crime|Action|Science Fiction,3.899557,6.6,1990,120,2015
Pitch Perfect 2,Comedy|Music,3.877764,6.8,1264,115,2015
Bridge of Spies,Thriller|Drama,3.64821,7.1,1638,141,2015
Goosebumps,Adventure|Horror|Comedy,3.644541,6.2,600,103,2015
Room,Drama|Thriller,3.557846,8.0,1520,117,2015
Solace,Crime|Drama|Mystery,3.358321,6.2,474,101,2015
The Good Dinosaur,Adventure|Animation|Comedy|Family|Fantasy,3.339135,6.6,1087,93,2015
Run All Night,Action|Crime|Drama|Mystery|Thriller,3.23737,6.3,814,114,2015
Brooklyn,Drama|Romance,3.227329,7.3,754,111,2015
Straight Outta Compton,Drama|Music,3.202719,7.7,918,147,2015
The Last Witch Hunter,Fantasy|Action|Adventure,3.080505,5.6,879,106,2015
Steve Jobs,History|Drama,3.079522,6.9,1035,122,2015
The Man from U.N.C.L.E.,Comedy|Action|Adventure,3.053421,7.0,1548,116,2015
The Age of Adaline,Fantasy|Drama|Romance,3.025852,7.3,1221,112,2015
Hardcore Henry,Action|Adventure|Science Fiction,3.023253,5.9,396,97,2015
Home,Fantasy|Comedy|Animation|Science Fiction|Family,2.976436,6.9,1060,94,2015
Paper Towns,Drama|Mystery|Romance,2.968254,6.2,1252,109,2015
Wild Card,Thriller|Crime|Drama,2.93234,5.3,481,92,2015
The Lobster,Thriller|Comedy|Drama|Romance|Science Fiction,2.885126,6.6,638,118,2015
Carol,Romance|Drama,2.883233,7.1,562,118,2015
The Intern,Comedy,2.814802,7.1,1255,121,2015
Everest,Adventure|Drama,2.798017,6.7,1172,121,2015
Joy,Comedy|Drama,2.793297,6.4,1001,124,2015
Point Break,Action|Crime|Thriller,2.614499,5.5,505,114,2015
Burnt,Drama,2.584264,6.3,631,100,2015
Self/less,Science Fiction|Mystery|Thriller,2.578919,6.2,719,116,2015
Mortdecai,Comedy|Adventure,2.575711,5.3,696,106,2015
The Danish Girl,Drama,2.557859,7.3,867,120,2015
Blackhat,Mystery|Crime|Action|Thriller|Drama,2.550747,5.0,584,133,2015
Sicario,Action|Crime|Drama|Mystery|Thriller,2.487849,7.1,1479,121,2015
Fantastic Four,Action|Adventure|Science Fiction,2.487042,4.4,1565,100,2015
The Witch,Mystery|Horror,2.46449,5.8,700,92,2015
Spy,Action|Comedy|Crime,2.404473,6.9,1840,120,2015
Focus,Romance|Comedy|Crime|Drama,2.395366,6.7,1831,105,2015
Hitman: Agent 47,Action|Crime|Thriller,2.354654,5.5,820,96,2015
In the Heart of the Sea,Thriller|Drama|Adventure|Action|History,2.345821,6.4,805,122,2015
Survivor,Crime|Thriller|Action,2.331636,5.4,280,96,2015
Creed,Drama,2.331567,7.3,1171,133,2015
Trainwreck,Comedy,2.31767,6.1,849,125,2015
Eye in the Sky,Drama|Thriller|War,2.29573,7.2,265,102,2015
Legend,Crime|Thriller,2.28135,6.7,619,131,2015
Beyond the Reach,Thriller,2.272044,5.5,81,95,2015
Pan,Adventure|Family|Fantasy,2.234573,5.9,586,111,2015
Mythica: The Darkspore,Action|Adventure|Fantasy,2.165433,5.1,27,108,2015
Me and Earl and the Dying Girl,Comedy|Drama,2.141506,7.7,569,105,2015
The Peanuts Movie,Adventure|Animation|Comedy|Family,2.140199,6.4,414,88,2015
Concussion,Drama,2.121884,6.9,500,123,2015
The Night Before,Comedy,2.096273,6.1,363,100,2015
Knock Knock,Drama|Horror|Thriller,2.080935,4.8,473,99,2015
The Longest Ride,Romance|Drama,2.070708,7.3,711,128,2015
Hotel Transylvania 2,Animation|Comedy|Family,2.060162,6.8,919,89,2015
Love the Coopers,Family|Comedy,2.055572,5.3,111,107,2015
The Walk,Adventure|Drama|Thriller,2.049886,6.8,706,123,2015
Tracers,Action|Crime|Drama,2.026651,5.9,326,94,2015
Vacation,Adventure|Comedy,2.000338,6.1,846,99,2015
Poltergeist,Horror|Thriller,1.984529,5.0,589,93,2015
Maggie,Horror,1.980039,5.1,384,95,2015
Equals,Drama|Romance|Science Fiction,1.959765,5.6,135,101,2015
Child 44,Crime|Thriller,1.95632,5.9,341,137,2015
The Gift,Thriller|Mystery,1.926739,6.6,631,108,2015
